firstName,LastName,DOB,Major,tuition,Paid
Lisa,AAA,1/1/2000,CS,5000.00,yes
Tom,BBB,1/1/1999,Math,12000.00,no
John,CCC,10/20/1989,Physics,15000.00,no
Matt,DDD,4/21/1989,CS,20667.00,yes
Kate,EEE,10/22/1989,Math,25667.00,no
Bill,AAA,10/23/1989,Physics,30667.00,no
A,BBB,10/24/1989,CS,35667.00,yes
B ,CCC,1/25/1989,Math,40667.00,no
c,DDD,3/26/1989,Physics,45667.00,no
d,EEE,10/27/1989,CS,50667.00,yes
y,FFF,10/28/1989,Math,55667.00,no
y,HHH,10/29/1989,Physics,60667.00,no
c,GGG,10/30/1989,CS,65667.00,yes
y,JJK,10/31/1989,Math,70667.00,no
y,DFDF,11/1/1989,Physics,75667.00,no
y,DRE,11/2/1989,CS,80667.00,yes
z,CF,11/3/1989,Math,85667.00,yes
z,CFEA,12/4/1989,CS,90667.00,no
zz,YRY,1/5/1989,Math,95667.00,no
z,JGKJHK,11/6/1989,Physics,100667.00,yes
z,RTDH,10/7/1989,CS,105667.00,no
zz,FHSF,11/8/1990,Math,110667.00,no
zq,GHGJD,11/9/1989,Physics,115667.00,yes
w,RTR,11/10/1989,CS,120667.00,no
e,VBV,1/11/1989,Math,125667.00,no
r,FGSFH,11/21/1989,Physics,130667.00,yes
Tom,VBV,11/13/1989,CS,135667.00,
y,FGSER,11/2/1989,Math,140667.00,
u,OPK,11/15/1989,Physics,145667.00,
i,FFF,11/16/1989,CS,150667.00,
d,WWA,1/17/1989,Math,155667.00,no
iy,DGK,11/18/1989,Physics,160667.00,yes
